"Reading ID","Post-Compressor (bits)","Pre-Evaporator (bits)","Post-Evaporator (vals)","Pre-Compressor (vals)","Test (vals)","Time (s)"
"1","0","0","5.855530258268118","5.415286440169439","5.4826394964475185","0"
"2","0","0","5.576295766513795","5.114461319986731","5.712268453324214","0.203"
"3","0","0","5.983776460168883","5.292110710637644","5.643160507082939","0.408"
"4","0","0","5.3098172773607075","5.983841622481123","5.573974913451821","0.608"
"5","0","0","5.594169992487878","5.7364638552535325","5.471561391372234","0.811"
"6","0","0","5.23977218917571","5.663364989915863","5.318576063960791","1.013"
"7","0","0","5.382881314959377","5.947564016561955","5.133001243928447","1.216"
"8","0","0","5.214114007772878","5.58724367339164","5.468340071383864","1.414"
"9","0","0","5.94809755962342","5.055080784251913","5.121417980641127","1.625"
"10","0","0","5.128805809887126","5.655734548578039","5.94539934466593","1.837"
"11","0","0","5.313149822643027","5.688176424242556","5.403693596832454","2.048"
"12","0","0","5.599594135535881","5.950293593574315","5.03319484484382","2.259"
"13","0","0","5.149216967169195","5.0003624856472015","5.384850359754637","2.471"
"14","0","0","5.8967842005658895","5.044276416534558","5.281575750326738","2.685"
"15","0","0","5.8292053553741425","5.825828596018255","5.591640528989956","2.9"
"16","0","0","5.219005607999861","5.86905370070599","5.608306290116161","3.111"
"17","0","0","5.4975578943267465","5.180432222085074","5.021672834875062","3.323"
"18","0","0","5.840787206077948","5.589736601803452","5.579315103124827","3.534"
"19","0","0","5.445270057069138","5.364221783122048","5.353955163154751","3.746"
"20","0","0","5.752602209569886","5.871385597391054","5.97480811807327","3.942"
"21","0","0","5.969814401585609","5.0323427794501185","5.610256304265931","4.137"
"22","0","0","5.674929223954678","5.491545064141974","5.715069270227104","4.335"
"23","0","0","5.601631149416789","5.399500002386048","5.177671225508675","4.536"
"24","0","0","5.5272308920975775","5.053108742693439","5.478153227828443","4.738"
"25","0","0","5.431389543693513","5.512489398475736","5.43144362536259","4.939"
"26","0","0","5.219107906799763","5.194393651559949","5.231380656128749","5.144"
"27","0","0","5.929989916970953","5.582778817042708","5.833138110581785","5.34"
"28","0","0","5.637215461581945","5.719353234861046","5.503789117559791","5.542"
