"Reading ID","Post-Compressor (bits)","Pre-Evaporator (bits)","Post-Evaporator (vals)","Pre-Compressor (vals)","Test (vals)","Time (s)"
"1","0","0","5.122604471864179","5.787302497541532","5.410022927215323","0"
"2","0","0","5.060306814964861","5.050306470366195","5.950531200971454","0.135"
"3","0","0","5.968605708098039","5.789404644165188","5.217404013732448","0.262"
"4","0","0","5.856766533805057","5.712315316312015","5.957525923382491","0.367"
"5","0","0","5.575651845894754","5.187696523964405","5.693921738304198","0.472"
"6","0","0","5.92763890651986","5.563734129769728","5.069457997800782","0.577"
"7","0","0","5.178387708961964","5.982272287365049","5.81846756557934","0.682"
"8","0","0","5.147406939184293","5.109022689051926","5.331379713257775","0.775"
"9","0","0","5.370664543705061","5.404058602172881","5.108997262548655","0.881"
"10","0","0","5.984720363281667","5.201819785637781","5.859439353225753","0.988"
"11","0","0","5.293028096668422","5.756163433426991","5.890062337508425","1.119"
"12","0","0","5.325885484693572","5.002758427755907","5.651795923477039","1.244"
"13","0","0","5.740472835255787","5.609209508867934","5.051751613384113","1.349"
"14","0","0","5.825086467433721","5.688384010223672","5.892288455739617","1.454"
"15","0","0","5.736455396050587","5.997039801208302","5.945319443941116","1.549"
"16","0","0","5.1080403660889715","5.709088830510154","5.613958266796544","1.643"
"17","0","0","5.314838403137401","5.614967000903562","5.7708413591608405","1.737"
"18","0","0","5.138689243700355","5.6781499879434705","5.307140762917697","1.84"
"19","0","0","5.105617112480104","5.407315521733835","5.076053845463321","1.936"
"20","0","0","5.865494359750301","5.881317935883999","5.9629403301514685","2.039"
"21","0","0","5.605279244249687","5.898366129491478","5.963995987083763","2.144"
"22","0","0","5.570018829777837","5.373225460760295","5.173617293359712","2.251"
"23","0","0","5.213372176978737","5.005881075980142","5.127845128532499","2.344"
"24","0","0","5.987880542408675","5.6206894288770854","5.214470598381013","2.439"
"25","0","0","5.97264921059832","5.611920950235799","5.119779537431896","2.531"
"26","0","0","5.82255196548067","5.701443271478638","5.0071432874538","2.628"
"27","0","0","5.476042001042515","5.871237142011523","5.482071666745469","2.723"
"28","0","0","5.317242135293782","5.562616413459182","5.823921416187659","2.819"
"29","0","0","5.291694476734847","5.349180981284007","5.460515570361167","2.926"
"30","0","0","5.123871728777885","5.341617528349161","5.883858811110258","3.078"
"31","0","0","5.450184200424701","5.160674282582477","5.9315574953798205","3.215"
"32","0","0","5.630455444799736","5.9490094762295485","5.829747549723834","3.35"
"33","0","0","5.213060695910826","5.030553273158148","5.3344947102013975","3.459"
"34","0","0","5.368265110766515","5.7690145736560225","5.098971166880801","3.558"
