"Reading ID","Post-Compressor (bits)","Pre-Evaporator (bits)","Post-Evaporator (vals)","Pre-Compressor (vals)","Test (vals)","Time (s)"
"1","0","0","3.5455613280646503","4.719851980917156","9.40307000419125","0"
"2","0","0","6.832723659928888","7.727428037207574","6.90994598576799","0.198"
"3","0","0","37.16662116581574","29.39112077653408","28.307097437791526","0.405"
"4","0","0","29.290650732349604","24.060878868214786","22.454147785902023","0.609"
"5","0","0","1.0265970998443663","7.1650780201889575","7.026349164079875","0.816"
"6","0","0","30.229097943753004","23.30762866931036","20.806987597607076","1.009"
"7","0","0","21.478695136960596","21.06903134798631","18.36532016703859","1.201"
"8","0","0","37.2314508757554","34.15856770519167","26.535137911792845","1.404"
"9","0","0","33.68095352919772","31.5147764114663","25.83689428959042","1.607"
"10","0","0","13.219309413805604","21.54348904779181","16.27248048223555","1.8"
"11","0","0","41.21092845266685","29.412501906976104","36.418182072695345","2.005"
"12","0","0","8.970497117843479","5.213218715507537","2.094438006170094","2.201"
"13","0","0","11.965713479090482","12.466168510727584","9.689277121331543","2.393"
"14","0","0","36.397101206704974","29.761596018914133","27.984259340912104","2.588"
"15","0","0","10.659161151386797","7.225334345828742","9.201955652795732","2.782"
"16","0","0","7.677173277828842","9.018915544264019","9.305953731294721","2.977"
"17","0","0","34.42923650378361","33.117380660027266","26.683926156256348","3.171"
"18","0","0","21.965987264178693","19.052951839752495","20.255088788457215","3.366"
"19","0","0","7.912362529430538","5.642168048769236","7.82605816423893","3.561"
"20","0","0","34.41052175825462","30.006007893942297","29.01943079661578","3.757"
"21","0","0","43.56519541097805","35.65582041442394","34.20933567080647","3.956"
"22","0","0","21.20948502002284","28.551361742429435","24.051405796781182","4.15"
"23","0","0","3.4351601311936975","9.787562566343695","0.8356108819134533","4.346"
"24","0","0","10.638026236090809","12.406731980852783","8.987659956794232","4.544"
"25","0","0","17.12673309771344","17.39827968738973","13.213537209201604","4.741"
"26","0","0","35.72297789296135","31.845292177516967","35.250595942139626","4.936"
"27","0","0","18.465873109176755","12.846731240861118","15.807006147224456","5.132"
"28","0","0","8.02861194126308","3.8041997654363513","2.8575951722450554","5.329"
"29","0","0","20.3273968542926","11.958334535825998","12.065927653107792","5.524"
"30","0","0","31.23411420499906","34.69146887026727","32.51231418689713","5.719"
"31","0","0","10.833551948424429","9.69898373959586","11.798367790877819","5.914"
"32","0","0","6.303282841574401","7.097275894600898","5.601493719033897","6.11"
"33","0","0","34.465824072714895","33.45388621278107","29.544612995814532","6.305"
