"Reading ID","Post-Compressor (bits)","Pre-Evaporator (bits)","Post-Evaporator (vals)","Pre-Compressor (vals)","Test (vals)","Time (s)"
"1","0","0","0","0","0","0"
"2","0","0","3","3","2","0.345"
"3","0","0","0","0","0","0.548"
"4","0","0","5","4","3","0.745"
"5","0","0","7","7","6","0.944"
"6","0","0","8","5","4","1.144"
"7","0","0","36","32","30","1.342"
"8","0","0","29","27","26","1.539"
"9","0","0","17","15","15","1.736"
"10","0","0","0","0","0","1.934"
"11","0","0","4","2","2","2.13"
"12","0","0","5","5","3","2.328"
"13","0","0","35","34","32","2.525"
"14","0","0","32","29","27","2.724"
"15","0","0","27","25","22","2.921"
"16","0","0","3","3","3","3.118"
"17","0","0","2","2","1","3.314"
"18","0","0","6","6","5","3.512"
"19","0","0","34","31","30","3.708"
"20","0","0","26","25","22","3.904"
"21","0","0","0","0","0","4.101"
"22","0","0","3","3","2","4.298"
"23","0","0","21","18","17","4.494"
"24","0","0","33","29","28","4.691"
"25","0","0","18","17","16","4.887"
"26","0","0","0","0","0","5.085"
"27","0","0","25","23","22","5.289"
"28","0","0","3","2","2","5.498"
"29","0","0","28","26","25","5.706"
"30","0","0","5","4","3","5.913"
"31","0","0","28","25","23","6.106"
"32","0","0","0","0","0","6.3"
"33","0","0","5","4","3","6.497"
"34","0","0","28","25","21","6.694"
"35","0","0","17","16","15","6.887"
"36","0","0","0","0","0","7.084"
"37","0","0","6","6","6","7.28"
"38","0","0","33","31","30","7.476"
"39","0","0","27","26","23","7.672"
"40","0","0","14","14","14","7.871"
"41","0","0","0","0","0","8.067"
"42","0","0","5","4","4","8.264"
"43","0","0","36","33","31","8.46"
"44","0","0","29","25","23","8.657"
"45","0","0","18","17","15","8.854"
"46","0","0","0","0","0","9.052"
"47","0","0","0","0","0","9.252"
"48","0","0","6","6","6","9.448"
"49","0","0","31","28","24","9.645"
"50","0","0","31","29","26","9.842"
"51","0","0","3","4","2","10.048"
"52","0","0","31","29","26","10.243"
"53","0","0","0","0","0","10.451"
"54","0","0","29","27","26","10.658"
"55","0","0","12","8","7","10.864"
"56","0","0","29","26","25","11.074"
"57","0","0","6","6","5","11.281"
"58","0","0","7","7","7","11.488"
"59","0","0","35","34","32","11.695"
"60","0","0","11","10","10","11.905"
"61","0","0","1","0","0","12.104"
"62","0","0","17","16","15","12.322"
"63","0","0","33","28","25","12.529"
"64","0","0","2","1","0","12.734"
"65","0","0","32","29","28","12.927"
"66","0","0","3","3","2","13.132"
"67","0","0","33","31","29","13.331"
"68","0","0","28","25","23","13.524"
"69","0","0","4","2","4","13.721"
"70","0","0","2","2","1","13.917"
"71","0","0","32","29","26","14.112"
"72","0","0","31","29","26","14.31"
"73","0","0","18","18","17","14.506"
"74","0","0","0","0","0","14.703"
"75","0","0","5","4","4","14.9"
"76","0","0","22","20","17","15.097"
"77","0","0","32","29","27","15.294"
"78","0","0","18","17","15","15.49"
"79","0","0","1","0","0","15.686"
"80","0","0","8","6","6","15.882"
"81","0","0","33","31","29","16.079"
"82","0","0","28","25","23","16.275"
"83","0","0","0","0","0","16.471"
"84","0","0","5","5","4","16.667"
"85","0","0","29","25","23","16.864"
"86","0","0","35","32","29","17.063"
"87","0","0","35","30","27","17.263"
"88","0","0","32","29","27","17.462"
"89","0","0","29","25","23","17.66"
"90","0","0","8","8","8","17.856"
"91","0","0","3","2","2","18.052"
"92","0","0","28","25","22","18.247"
"93","0","0","33","30","30","18.446"
"94","0","0","29","26","24","18.643"
"95","0","0","21","20","19","18.841"
"96","0","0","0","0","0","19.037"
"97","0","0","3","4","3","19.235"
"98","0","0","33","29","26","19.431"
"99","0","0","28","26","25","19.627"
"100","0","0","4","3","4","19.823"
"101","0","0","2","2","1","20.019"
"102","0","0","19","18","15","20.216"
"103","0","0","35","33","29","20.413"
"104","0","0","29","27","26","20.612"
"105","0","0","26","25","22","20.809"
"106","0","0","6","7","7","21.007"
"107","0","0","0","0","0","21.205"
"108","0","0","4","4","4","21.402"
"109","0","0","30","28","24","21.598"
"110","0","0","29","26","24","21.794"
"111","0","0","14","15","15","21.991"
"112","0","0","1","0","0","22.187"
"113","0","0","3","4","3","22.385"
"114","0","0","36","33","31","22.581"
"115","0","0","29","26","25","22.778"
"116","0","0","23","21","19","22.975"
"117","0","0","0","0","0","23.173"
"118","0","0","19","15","13","23.366"
"119","0","0","30","28","25","23.562"
"120","0","0","4","4","4","23.768"
"121","0","0","25","23","22","23.976"
"122","0","0","3","4","2","24.185"
"123","0","0","19","18","17","24.409"
"124","0","0","2","2","1","24.603"
"125","0","0","28","25","23","24.81"
"126","0","0","12","9","7","25.017"
"127","0","0","1","1","0","25.221"
"128","0","0","29","27","26","25.43"
"129","0","0","1","2","3","25.624"
"130","0","0","31","29","26","25.83"
"131","0","0","0","0","0","26.04"
"132","0","0","32","30","30","26.246"
"133","0","0","0","0","0","26.439"
"134","0","0","31","29","26","26.646"
"135","0","0","27","25","23","26.845"
"136","0","0","0","0","0","27.039"
"137","0","0","4","3","4","27.236"
"138","0","0","21","18","16","27.433"
"139","0","0","29","27","26","27.629"
"140","0","0","19","18","18","27.826"
"141","0","0","0","0","0","28.022"
"142","0","0","6","6","5","28.218"
"143","0","0","32","30","29","28.415"
"144","0","0","29","27","26","28.612"
"145","0","0","0","0","0","28.808"
"146","0","0","0","0","0","29.005"
"147","0","0","6","5","4","29.204"
"148","0","0","29","26","24","29.4"
"149","0","0","28","25","23","29.597"
"150","0","0","33","31","30","29.794"
"151","0","0","7","8","7","29.992"
"152","0","0","0","0","0","30.189"
"153","0","0","1","0","0","30.385"
"154","0","0","29","26","25","30.582"
"155","0","0","59","55","51","30.784"
"156","0","0","37","34","32","30.981"
"157","0","0","18","17","16","31.177"
"158","0","0","55","53","49","31.373"
"159","0","0","30","29","26","31.57"
"160","0","0","37","32","29","31.767"
"161","1","0","144","136","130","31.964"
"162","0","0","51","49","45","32.161"
"163","0","0","29","26","25","32.358"
"164","0","0","27","28","27","32.555"
"165","0","0","17","15","14","32.751"
"166","0","0","37","35","34","32.948"
"167","0","0","30","28","25","33.147"
"168","0","0","9","8","8","33.343"
